Штрихкод;Вид талона;Порядковый номер внутри вида талона;Марка топлива;Номинал в литрах;Вид продажи талона;Продан по обмену;Дата продажи;Документ продажи;Контрагент;Действителен до;Закупочная цена на день продажи;Розничная цена на день продажи;Цена по которой продано топливо;Цена по которой продан талон;Талон вернулся;Возвращен по обмену;Вид возврата талона;АЗС;Дата возврата;Документ возврата;Закупочная цена на день возврата;Розничная цена на день возврата;Цена по которой талон куплен у клиента;Количество
0151000000016;Талон ГАЗ - 10 л.;1;ГАЗ;10;;Нет ;02.12.2015;Продажа талонов 000000006 от 02.12.2015 11:24:54;Счетная Палата;01.12.2016;14,00;18,00;19,50;195,00;Да ;Нет ;С собственных АЗС;Ликойл общий;21.12.2015;Возврат талонов с собственных АЗС 000000008 от 21.12.2015 16:19:28;14,00;18,00;;1
0151000000023;Талон ГАЗ - 10 л.;2;ГАЗ;10;;Нет ;02.12.2015;Продажа талонов 000000006 от 02.12.2015 11:24:54;Счетная Палата;01.12.2016;14,00;18,00;19,50;195,00;Да ;Нет ;С собственных АЗС;Ликойл общий;18.12.2015;Возврат талонов с собственных АЗС 000000007 от 18.12.2015 10:47:04;14,00;18,00;;1
0151000000115;Талон ГАЗ - 10 л.;11;ГАЗ;10;;Да ;02.12.2015;Продажа талонов 000000007 от 02.12.2015 14:32:52;УФСИН;01.12.2016;14,00;18,00;19,50;195,00;Да ;Нет ;С собственных АЗС;Ликойл общий;07.12.2015;Возврат талонов с собственных АЗС 000000001 от 07.12.2015 17:29:04;14,00;18,00;;1
0151000000122;Талон ГАЗ - 10 л.;12;ГАЗ;10;;Да ;02.12.2015;Продажа талонов 000000007 от 02.12.2015 14:32:52;УФСИН;01.12.2016;14,00;18,00;19,50;195,00;Да ;Нет ;С собственных АЗС;Ликойл общий;07.12.2015;Возврат талонов с собственных АЗС 000000001 от 07.12.2015 17:29:04;14,00;18,00;;1
0151000000290;Талон ГАЗ - 10 л.;29;ГАЗ;10;;Нет ;02.12.2015;Продажа талонов 000000008 от 02.12.2015 16:14:41;Лидер (Денеб);01.12.2016;14,00;18,00;18,50;185,00;Нет ;Нет ;;;;;;;;1
0151000000306;Талон ГАЗ - 10 л.;30;ГАЗ;10;;Нет ;02.12.2015;Продажа талонов 000000008 от 02.12.2015 16:14:41;Лидер (Денеб);01.12.2016;14,00;18,00;18,50;185,00;Да ;Нет ;С собственных АЗС;"Л-2 ""Башнефть""";16.02.2016;Возврат талонов с собственных АЗС 000000095 от 16.02.2016 17:11:02;13,35;16,50;;1
0151000004342;Талон ГАЗ - 10 л.;434;ГАЗ;10;;Да ;03.12.2015;Продажа талонов 000000009 от 03.12.2015 13:24:16;ТУФА по Рыболовству;02.12.2016;14,00;18,00;20,00;200,00;Да ;Нет ;С собственных АЗС;Ликойл общий;21.12.2015;Возврат талонов с собственных АЗС 000000008 от 21.12.2015 16:19:28;14,00;18,00;;1
0151000004359;Талон ГАЗ - 10 л.;435;ГАЗ;10;;Да ;03.12.2015;Продажа талонов 000000009 от 03.12.2015 13:24:16;ТУФА по Рыболовству;02.12.2016;14,00;18,00;20,00;200,00;Да ;Нет ;С собственных АЗС;Ликойл общий;21.12.2015;Возврат талонов с собственных АЗС 000000008 от 21.12.2015 16:19:28;14,00;18,00;;1
0151000004366;Талон ГАЗ - 10 л.;436;ГАЗ;10;;Да ;03.12.2015;Продажа талонов 000000009 от 03.12.2015 13:24:16;ТУФА по Рыболовству;02.12.2016;14,00;18,00;20,00;200,00;Да ;Нет ;С собственных АЗС;Ликойл общий;21.12.2015;Возврат талонов с собственных АЗС 000000008 от 21.12.2015 16:19:28;14,00;18,00;;1
0151000004465;Талон ГАЗ - 10 л.;446;ГАЗ;10;;Нет ;11.12.2015;Продажа талонов 000000014 от 11.12.2015 13:08:33;Театр Драм;10.12.2016;14,00;18,00;15,49;154,90;Нет ;Нет ;;;;;;;;1
